,timestamp,user_id,department,event_type,resource,location,device,failed_logins,files_downloaded,data_transfer_mb,risk_score,risk_level,alert_reason
0,2026-05-30T03:08:00.000,U1004,Human Resources,login,finance_records,London,new_mobile,6,3,354.89,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, multiple failed logins, large data transfer"
1,2026-05-30T04:37:00.000,U1007,Finance,database_query,payroll_database,London,personal_laptop,0,5,917.61,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, large data transfer"
98,2026-05-31T01:24:00.000,U1006,Engineering,download,source_code_repository,Dubai,new_mobile,0,40,828.37,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, excessive downloads, large data transfer"
99,2026-05-31T02:00:00.000,U1003,Sales,login,executive_reports,Singapore,new_mobile,0,3,944.74,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, large data transfer"
196,2026-05-31T23:51:00.000,U1007,Finance,download,customer_pii,London,new_mobile,1,58,1474.55,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, excessive downloads, large data transfer"
197,2026-06-01T02:47:00.000,U1003,Sales,login,executive_reports,Singapore,personal_laptop,1,4,1319.35,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, large data transfer"
198,2026-06-01T03:29:00.000,U1004,Human Resources,login,finance_records,Unknown,unknown_device,6,4,1024.04,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, multiple failed logins, large data transfer"
199,2026-06-01T04:49:00.000,U1006,Engineering,database_query,payroll_database,Dubai,personal_laptop,1,2,1004.16,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, large data transfer"
296,2026-06-02T01:05:00.000,U1002,Engineering,download,source_code_repository,Singapore,personal_laptop,1,65,1362.6,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, excessive downloads, large data transfer"
393,2026-06-03T01:50:00.000,U1008,Support,download,source_code_repository,Singapore,new_mobile,0,81,1090.31,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, excessive downloads, large data transfer"
394,2026-06-03T04:02:00.000,U1008,Support,database_query,payroll_database,Dubai,personal_laptop,1,3,915.51,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, large data transfer"
587,2026-06-04T23:49:00.000,U1004,Human Resources,download,customer_pii,London,new_mobile,1,51,750.39,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, excessive downloads, large data transfer"
588,2026-06-05T02:21:00.000,U1006,Engineering,login,executive_reports,Dubai,personal_laptop,0,0,993.97,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, large data transfer"
685,2026-06-06T01:01:00.000,U1001,Finance,download,source_code_repository,London,unknown_device,0,38,841.97,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, excessive downloads, large data transfer"
782,2026-06-07T02:21:00.000,U1006,Engineering,login,executive_reports,Singapore,new_mobile,0,5,532.04,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, large data transfer"
879,2026-06-08T01:12:00.000,U1001,Finance,download,source_code_repository,Dubai,personal_laptop,1,49,1084.83,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, excessive downloads, large data transfer"
976,2026-06-08T23:10:00.000,U1004,Human Resources,download,customer_pii,Dubai,new_mobile,1,82,302.24,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, excessive downloads, large data transfer"
977,2026-06-09T02:50:00.000,U1006,Engineering,login,executive_reports,Dubai,personal_laptop,2,4,798.16,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, large data transfer"
1077,2026-06-09T23:15:00.000,U1005,Operations,download,customer_pii,Dubai,personal_laptop,0,47,1303.6,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, excessive downloads, large data transfer"
978,2026-06-09T02:54:00.000,U1007,Finance,login,executive_reports,Unknown,unknown_device,0,5,897.87,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, large data transfer"
979,2026-06-09T03:01:00.000,U1004,Human Resources,login,finance_records,Dubai,personal_laptop,5,1,523.68,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, multiple failed logins, large data transfer"
980,2026-06-09T03:36:00.000,U1008,Support,login,finance_records,London,new_mobile,5,3,660.77,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, multiple failed logins, large data transfer"
1175,2026-06-11T02:32:00.000,U1007,Finance,login,executive_reports,Unknown,personal_laptop,2,1,1074.8,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, large data transfer"
1078,2026-06-10T03:10:00.000,U1008,Support,login,finance_records,Singapore,personal_laptop,6,2,997.33,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, multiple failed logins, large data transfer"
1272,2026-06-12T02:10:00.000,U1007,Finance,login,executive_reports,London,unknown_device,0,5,1031.62,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, large data transfer"
1273,2026-06-12T04:20:00.000,U1008,Support,database_query,payroll_database,London,personal_laptop,1,4,660.57,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, large data transfer"
1857,2026-06-18T01:14:00.000,U1002,Engineering,download,source_code_repository,Singapore,new_mobile,0,54,833.17,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, excessive downloads, large data transfer"
1370,2026-06-12T23:23:00.000,U1005,Operations,download,customer_pii,Singapore,unknown_device,1,51,258.92,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, excessive downloads, large data transfer"
1371,2026-06-12T23:51:00.000,U1008,Support,download,customer_pii,Singapore,personal_laptop,0,64,980.65,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, excessive downloads, large data transfer"
1372,2026-06-13T03:08:00.000,U1002,Engineering,login,finance_records,London,unknown_device,6,3,1155.78,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, multiple failed logins, large data transfer"
1469,2026-06-13T23:24:00.000,U1003,Sales,download,customer_pii,London,unknown_device,2,79,1471.23,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, excessive downloads, large data transfer"
1470,2026-06-14T04:51:00.000,U1006,Engineering,database_query,payroll_database,Unknown,new_mobile,0,0,430.54,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, large data transfer"
1567,2026-06-15T02:41:00.000,U1002,Engineering,login,executive_reports,Singapore,unknown_device,0,2,820.25,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, large data transfer"
1760,2026-06-17T04:44:00.000,U1002,Engineering,database_query,payroll_database,Singapore,personal_laptop,2,4,1498.53,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, large data transfer"
2054,2026-06-19T23:43:00.000,U1005,Operations,download,customer_pii,London,new_mobile,2,83,252.44,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, excessive downloads, large data transfer"
1858,2026-06-18T03:54:00.000,U1001,Finance,login,finance_records,Unknown,unknown_device,3,4,1189.95,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, multiple failed logins, large data transfer"
1955,2026-06-18T23:28:00.000,U1002,Engineering,download,customer_pii,Singapore,unknown_device,2,80,332.24,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, excessive downloads, large data transfer"
1956,2026-06-19T01:47:00.000,U1004,Human Resources,download,source_code_repository,Singapore,unknown_device,2,70,489.39,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, excessive downloads, large data transfer"
2055,2026-06-20T04:22:00.000,U1001,Finance,database_query,payroll_database,Singapore,new_mobile,0,1,613.22,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, large data transfer"
1957,2026-06-19T04:37:00.000,U1005,Operations,database_query,payroll_database,Dubai,personal_laptop,0,4,1273.98,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, large data transfer"
970,2026-06-08T19:12:00.000,U1004,Human Resources,database_query,ticketing_system,Delhi,office_desktop,2,0,11.21,52,Medium,ML anomaly
1761,2026-06-17T08:00:00.000,U1001,Finance,download,email,Bengaluru,managed_laptop,2,3,24.17,50,Medium,ML anomaly
